player_id,league,appearances,matches_started,minutes_played,goals,assists,expected_goals,expected_assists,rating,total_shots,shots_on_target,yellow_cards,red_cards,tackles,interceptions,saves
804508,Premier League,31,24,2011,12,0,10.3733,1.7730045,6.5645161290323,47,18,5,0,6,1,0
934235,Premier League,27,22,2001,6,3,6.9941,5.76195133,7.2148148148148,63,26,1,0,36,14,0
794839,Premier League,12,2,320,2,0,1.8434,0.2477887,6.5416666666667,15,10,2,0,4,2,0
922573,Premier League,27,10,951,1,3,3.7215,1.01272459,6.5925925925926,26,11,2,0,11,1,0
836705,Premier League,8,5,408,1,1,2.5193,0.10897278,6.6375,12,3,0,0,5,0,0
135666,Premier League,28,18,1737,5,5,4.8222,2.7756985,6.8642857142857,44,11,1,0,26,9,0
547410,Premier League,21,14,1168,1,5,1.0108,3.27544593,6.9666666666667,20,7,0,0,17,7,0
856714,Premier League,32,31,2765,4,5,2.9698,6.4660936,7.465625,40,13,2,0,63,32,0
864921,Premier League,28,18,1614,6,2,3.8304,2.50638319,6.9571428571429,50,16,1,0,18,10,0
966547,Premier League,22,14,1007,2,1,1.0238,2.11982881,6.8428571428571,20,7,0,0,21,4,0
592010,Premier League,21,10,1007,4,3,2.9983,1.45131127,6.8619047619048,21,8,1,0,26,10,0
1917626,Premier League,4,0,88,1,0,1.1064,0.15122363,6.875,5,1,0,0,2,0,0
966837,Premier League,33,32,2764,5,1,2.7812,2.19763616,7.0666666666667,26,9,4,0,61,37,0
135256,Premier League,6,0,63,0,0,0.0511,0.00172916,6.6,1,1,0,0,0,0,0
869792,Premier League,27,26,2346,3,4,1.9818,1.74914726,7.3333333333333,21,5,4,0,34,19,0
941168,Premier League,27,26,2255,1,0,0.8575,0.92414381,6.9692307692308,5,1,1,0,32,16,0
1002837,Premier League,22,18,1594,1,2,0.3286,1.35421283,6.8954545454545,2,1,2,0,42,20,0
957602,Premier League,22,18,1455,1,2,2.8955,0.48692635,6.852380952381,28,6,5,0,31,14,0
958959,Premier League,30,28,2457,3,5,4.7029,1.60875528,6.9133333333333,25,7,5,0,66,24,0
1423711,Premier League,15,2,426,0,0,0.1044,0.08800199,6.5692307692308,2,0,3,0,6,3,0
1144630,Premier League,16,7,766,0,0,0.096,0.50875622,6.9,1,0,3,0,26,8,0
846036,Premier League,9,6,512,0,1,0.4567,0.49944491,6.8111111111111,5,1,0,0,15,6,0
581310,Premier League,33,33,2970,0,0,,0.10552733,6.8878787878788,0,0,1,0,1,1,53
839956,Premier League,31,30,2598,23,7,22.3575,2.12613421,7.3193548387097,111,51,2,0,15,5,0
873554,Premier League,17,7,600,1,3,2.1852,0.70657912,6.66,24,7,2,0,12,2,0
859765,Premier League,28,21,1855,7,3,5.7232,4.02498123,6.9928571428571,51,17,4,0,30,8,0
934354,Premier League,31,31,2767,15,4,10.1916,2.4113195,7.0290322580645,74,38,7,0,41,10,0
979128,Premier League,27,16,1477,4,10,2.8112,7.39646391,7.2740740740741,38,10,1,0,24,7,0
827606,Premier League,20,16,1423,1,0,0.8052,2.45729392,7.4210526315789,12,2,2,0,39,13,0
934386,Premier League,24,15,1394,2,4,2.1645,4.8916504,7.3,26,10,0,0,18,10,0
331209,Premier League,32,28,2429,2,4,1.8483,3.47607813,6.834375,20,6,9,0,39,17,0
1046795,Premier League,19,5,606,0,1,1.5342,1.24836662,6.6789473684211,14,9,2,0,6,5,0
893549,Premier League,26,17,1503,5,2,3.7959,2.25920791,6.85,41,15,2,0,10,10,0
136710,Premier League,2,0,21,0,0,,0.02804397,6.75,0,0,0,0,0,0,0
954056,Premier League,22,15,1385,1,0,0.571,0.99972224,6.9772727272727,12,2,6,0,36,21,0
1194333,Premier League,17,11,1069,0,0,0.6055,0.28316172,6.9117647058824,4,1,2,0,22,26,0
964994,Premier League,16,15,1304,2,2,2.3419,0.65621188,7.01875,16,5,2,0,18,13,0
931278,Premier League,14,10,808,0,2,0.4196,1.71404273,6.9166666666667,7,1,2,0,30,13,0
318941,Premier League,25,23,2059,2,0,0.5644,0.62277125,7.2,10,4,3,0,13,22,0
1142703,Premier League,30,25,2288,5,3,4.4637,2.41057651,6.9233333333333,32,11,4,0,66,19,0
877994,Premier League,30,30,2700,3,2,3.9414,2.09577474,7.3166666666667,29,9,6,0,41,44,0
152077,Premier League,7,4,363,0,0,,0.06005487,6.5666666666667,0,0,0,0,0,2,0
149663,Premier League,15,4,504,0,0,0.2759,0.44223924,6.8090909090909,3,0,1,0,8,4,0
945122,Premier League,29,27,2447,1,5,0.3479,2.08642712,6.9586206896552,7,2,4,0,50,27,0
1136731,Premier League,10,3,333,0,1,0.1119,1.31145706,6.7333333333333,2,0,1,0,5,7,0
1168513,Premier League,2,2,135,0,0,0.259,0.0644063,7.1,2,1,0,0,3,4,0
824509,Premier League,29,29,2610,0,0,,0.01807025,7.0137931034483,0,0,6,0,0,1,68
980643,Premier League,3,3,270,0,0,,0.00099632,7.4,0,0,0,0,2,0,11
927083,Premier League,28,27,2303,9,3,8.2602,4.53666454,6.8571428571429,61,30,4,0,23,7,0
971037,Premier League,27,23,1999,2,2,4.7447,3.55701391,6.9296296296296,45,18,2,0,35,15,0
986397,Premier League,28,15,1502,9,1,7.5122,0.24984883,6.7142857142857,57,31,2,0,5,3,0
886363,Premier League,30,26,2246,8,2,6.3194,2.66089789,7.0533333333333,78,32,3,0,35,18,0
917007,Premier League,19,4,558,2,1,2.3854,0.32850089,6.5421052631579,21,7,1,0,8,1,0
288205,Premier League,30,30,2617,8,18,10.4214,9.6441125,7.5466666666667,75,21,4,0,49,15,0
122951,Premier League,31,30,2332,8,2,4.8846,2.99592264,7.1548387096774,45,16,8,1,74,26,0
1142175,Premier League,23,11,1220,0,2,0.2363,0.86389745,6.7772727272727,8,2,1,0,29,10,0
836694,Premier League,19,10,829,3,0,1.4878,1.4076798,6.8352941176471,18,5,1,0,15,3,0
1397168,Premier League,22,14,1349,3,3,1.8222,1.4381283,6.9238095238095,21,8,5,0,47,14,0
843200,Premier League,31,26,2346,1,3,1.6412,2.38647314,6.8677419354839,22,6,5,0,45,25,0
846425,Premier League,22,8,900,0,0,0.7116,0.20449789,6.6909090909091,13,1,1,0,46,20,0
1402726,Premier League,3,0,107,0,0,0.0348,0.03119804,6.5666666666667,1,0,0,0,5,1,0
1465865,Premier League,2,0,23,0,0,0.07,0.00033481,6.6,3,1,0,0,1,0,0
1545190,Premier League,1,0,15,0,0,,0.00757657,6.5,0,0,0,0,0,0,0
1402850,Premier League,1,0,1,0,0,,0.00537702,0,0,0,0,0,0,0,0
847030,Premier League,17,9,813,0,0,0.1883,0.30568352,6.8470588235294,5,0,3,0,22,11,0
859999,Premier League,15,10,967,0,0,0.065,0.56539324,7.0666666666667,4,0,0,1,13,11,0
803031,Premier League,13,13,1170,1,0,1.4559,0.76599626,6.9538461538462,11,3,0,0,19,15,0
149380,Premier League,18,14,1217,1,1,0.8019,0.21427547,6.8,10,2,3,1,12,9,0
1153315,Premier League,29,18,1714,0,0,1.3853,0.63126557,6.6607142857143,9,3,1,0,31,30,0
190839,Premier League,33,33,2806,0,1,0.529,1.53926441,6.6545454545455,6,2,6,0,63,35,0
1445799,Premier League,15,9,758,0,1,0.3454,0.17123911,6.8923076923077,3,0,2,0,18,1,0
825839,Premier League,2,0,24,0,0,,0.0011053,6.5,0,0,0,0,1,0,0
1142182,Premier League,1,0,10,0,0,,,6.6,0,0,0,0,0,0,0
964753,Premier League,27,27,2430,0,0,,0.03656274,6.9518518518519,0,0,0,0,1,0,63
815890,Premier League,6,6,540,0,0,,0.04160964,6.6,0,0,0,0,0,0,13
555386,Premier League,32,29,2472,11,2,11.8268,1.22722578,6.775,67,29,3,0,21,6,0
610766,Premier League,10,1,224,2,0,1.7569,0.36209894,6.63,8,3,0,0,4,0,0
851100,Premier League,20,8,781,0,2,0.5778,1.88669528,6.68,10,3,0,0,6,2,0
955245,Premier League,5,1,117,0,0,0.291,0.09142751,6.52,5,0,0,0,0,0,0
948261,Premier League,33,33,2925,9,5,6.4157,3.99040179,6.8848484848485,76,31,6,0,34,13,0
867887,Premier League,17,11,836,1,0,0.4908,1.39283125,6.8529411764706,10,4,2,0,21,12,0
331737,Premier League,20,17,1502,0,4,1.0135,2.9169333,7.175,18,4,0,0,46,14,0
808590,Premier League,9,2,336,0,1,0.3028,1.20996422,6.6,6,1,1,0,7,1,0
783126,Premier League,31,18,1507,5,2,3.1576,1.99607716,6.8193548387097,43,10,6,0,38,9,0
923973,Premier League,24,21,1759,2,0,1.7146,0.70305997,7.05,19,7,3,0,47,25,0
250223,Premier League,26,25,1905,4,3,2.6781,3.22034916,6.8961538461538,22,9,4,0,27,12,0
826204,Premier League,18,17,1418,1,3,0.4904,0.86047139,7.1222222222222,7,4,5,0,37,18,0
98435,Premier League,16,4,553,2,0,0.74,1.19871303,6.98125,13,6,0,0,10,2,0
1631879,Premier League,3,0,56,0,0,0.0455,0.04564256,6.6,1,0,0,0,0,1,0
1089388,Premier League,24,8,857,0,0,,0.19126478,6.5913043478261,0,0,5,0,20,3,0
833956,Premier League,30,30,2625,3,2,1.1709,2.72844396,6.8966666666667,29,10,8,0,53,20,0
143334,Premier League,13,7,703,0,1,0.2792,0.07813022,6.6923076923077,3,0,0,0,5,4,0
976263,Premier League,26,14,1347,0,1,1.2366,2.25623088,6.636,18,5,2,0,36,14,0
96538,Premier League,28,19,1670,0,5,0.6571,3.07647693,6.7642857142857,12,5,3,0,33,13,0
864169,Premier League,18,16,1479,0,0,0.5686,0.35382028,6.85,7,0,0,0,20,11,0
827679,Premier League,31,31,2766,0,0,1.2515,0.55613231,6.9903225806452,11,2,0,1,21,23,0
303638,Premier League,14,12,1053,0,0,1.1579,0.3993782,6.7,8,1,0,0,4,9,0
1457536,Premier League,5,0,60,0,0,,0.01416046,6.45,0,0,0,0,1,0,0
158263,Premier League,28,28,2475,0,0,,0.09371495,6.9392857142857,0,0,2,0,0,0,80
100390,Premier League,6,5,495,0,0,,0.00277412,6.5,0,0,2,0,0,0,17
823941,Premier League,12,7,612,2,1,2.2189,0.09192462,6.525,16,5,0,0,6,0,0
1048422,Premier League,28,21,1810,11,4,9.87,2.67287125,6.9214285714286,65,19,0,0,11,3,0
845386,Premier League,23,1,354,2,1,1.4086,0.60506798,6.6,16,4,3,0,8,4,0
1881902,Premier League,15,2,337,2,0,1.0244,1.76584775,7.0266666666667,10,6,0,0,2,1,0
159665,Premier League,24,21,1999,7,6,7.8155,4.7645823,6.8916666666667,63,17,1,0,16,4,0
1019322,Premier League,29,25,2167,4,3,6.1603,4.89570707,6.8827586206897,44,16,1,0,31,10,0
869856,Premier League,31,31,2783,5,4,3.9879,5.4296582,7.1935483870968,61,19,7,1,48,27,0
895324,Premier League,32,26,2225,2,2,3.3746,1.35190832,6.721875,45,11,5,0,43,19,0
862967,Premier League,31,27,2333,6,5,7.1843,4.59659478,6.9548387096774,78,19,2,0,27,10,0
904897,Premier League,31,30,2656,4,3,1.6613,2.08579707,7.0903225806452,32,9,5,0,53,42,0
143040,Premier League,8,1,206,0,1,0.0386,0.05474669,6.7,1,0,1,0,7,0,0
927353,Premier League,29,13,1503,0,1,2.048,2.59281672,6.8275862068966,20,6,1,0,31,12,0
1445945,Premier League,5,0,29,0,0,0.3697,0.01412509,6.4,1,0,0,0,0,0,0
151545,Premier League,33,33,2970,4,0,3.0165,1.12625718,7.2787878787879,24,11,4,0,22,21,0
970361,Premier League,17,10,856,0,1,0.4308,1.43260806,6.7882352941176,8,1,1,0,9,6,0
826215,Premier League,31,31,2667,1,0,1.0717,0.92112502,7.0935483870968,10,3,6,0,50,27,0
1097425,Premier League,29,25,2061,2,1,1.5586,0.65932665,6.6172413793103,8,2,4,0,40,13,0
262911,Premier League,21,8,959,0,0,0.7008,1.04588211,6.665,8,2,0,0,12,7,0
1008402,Premier League,15,12,932,0,1,0.241,0.93808918,6.6333333333333,6,0,5,0,19,13,0
318927,Premier League,17,6,542,0,2,0.2268,0.63120563,6.5333333333333,3,1,2,0,8,9,0
243609,Premier League,25,25,2250,0,0,,0.03653137,6.808,0,0,1,0,0,0,56
930997,Premier League,8,8,688,0,0,,0.01036234,6.625,0,0,0,0,0,0,27
284417,Premier League,1,0,32,0,0,,1.676e-05,6.7,0,0,0,0,0,1,1
1135873,Premier League,22,14,1229,1,4,3.2722,3.65776867,6.8181818181818,31,7,2,0,14,4,0
975079,Premier League,32,28,2404,14,5,13.7226,1.9204388,7.09375,66,27,4,0,25,5,0
1414933,Premier League,9,1,258,0,1,1.4653,0.29707022,6.2888888888889,12,2,1,0,0,0,0
997087,Premier League,24,10,914,1,0,4.2146,0.2049245,6.5125,33,11,2,0,4,1,0
982780,Premier League,22,20,1606,9,1,9.2085,2.13757393,7.0681818181818,53,20,4,0,21,13,0
1597265,Premier League,22,12,852,2,2,2.9248,2.1989491,6.7571428571429,28,8,4,0,11,4,0
974505,Premier League,31,30,2671,8,3,10.7896,6.1916952,7.1387096774194,63,28,8,0,49,20,0
987650,Premier League,28,27,2357,3,1,1.3705,2.06267659,7.1785714285714,25,7,9,1,79,53,0
879349,Premier League,31,27,2399,5,4,4.5259,6.6670437,6.9766666666667,44,12,2,1,16,6,0
1105779,Premier League,24,11,1095,0,0,1.754,0.83031243,6.7958333333333,9,1,4,0,29,19,0
1140599,Premier League,16,5,495,0,2,0.8183,0.9303351,6.6466666666667,10,2,0,0,8,2,0
1069488,Premier League,10,2,246,0,0,0.137,0.44058217,6.7222222222222,1,0,0,0,5,5,0
1110006,Premier League,1,0,8,0,0,,0.00132353,7.1,0,0,1,0,3,0,0
885908,Premier League,27,20,1896,2,4,1.0148,3.13504645,7.2,21,6,4,0,47,32,0
794939,Premier League,29,26,2260,1,3,2.2644,3.04826857,6.7137931034483,18,5,6,1,47,29,0
1154657,Premier League,2,1,98,0,0,0.4359,0.00197374,6.15,1,0,0,0,1,1,0
996958,Premier League,30,22,1913,2,3,1.4572,2.07549989,6.6833333333333,11,5,2,1,49,24,0
1153079,Premier League,18,8,837,0,0,0.3071,0.5345151,6.5222222222222,4,0,5,0,26,11,0
923894,Premier League,21,16,1448,0,1,0.7214,0.60325864,6.947619047619,8,1,4,1,19,29,0
826134,Premier League,30,29,2561,3,0,1.2914,1.03219388,6.9833333333333,14,5,3,1,35,34,0
1403050,Premier League,14,7,607,1,0,0.6039,0.13770223,6.5857142857143,3,2,1,0,10,10,0
904827,Premier League,8,6,471,0,0,,0.06794814,6.6625,0,0,2,0,7,10,0
352668,Premier League,15,7,751,0,0,0.1073,0.3998622,6.9571428571429,2,0,2,0,15,9,0
920546,Premier League,31,31,2705,0,1,,0.06415776,6.9451612903226,0,0,3,1,2,1,86
962053,Premier League,3,2,264,0,0,,0.00168234,6.9333333333333,0,0,0,0,0,1,6
1016907,Premier League,33,32,2834,21,1,19.1002,1.77335729,7.0060606060606,76,39,6,0,32,11,0
991604,Premier League,6,1,128,1,0,0.6992,0.03116271,6.66,2,1,0,0,3,0,0
1586020,Premier League,4,0,38,0,0,0.0958,0.01732758,6.6,3,1,0,0,0,0,0
1106451,Premier League,27,21,1898,5,3,5.684,3.73862508,6.837037037037,41,16,4,0,18,23,0
42694,Premier League,29,21,1831,1,3,0.3319,2.39206751,6.8206896551724,6,1,4,0,26,17,0
826139,Premier League,8,0,123,0,0,0.7111,0.09427809,6.5875,5,1,0,0,3,0,0
907072,Premier League,28,20,1723,3,4,2.0361,4.17214238,6.9571428571429,23,9,0,0,50,19,0
1006387,Premier League,30,28,2397,7,3,11.0558,2.05964632,6.8266666666667,51,22,6,1,36,18,0
1031258,Premier League,33,26,2327,1,2,1.176,1.27361293,6.6878787878788,15,4,7,0,58,25,0
1126692,Premier League,1,1,45,0,0,,0.0116086,6.7,0,0,0,0,3,0,0
814873,Premier League,22,13,1267,1,4,0.9081,1.87983045,6.9863636363636,12,3,7,0,24,29,0
